periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2014;2014;Total general;Total de hechos de hurtos;54902;;;;;;;;;
1/1/2014;2014;Total general;Total de hechos de robos;88518;;;;;;;;;
1/1/2015;2015;Total general;Total de hechos de hurtos;51451;;;;;;;;;
1/1/2015;2015;Total general;Total de hechos de robos;81396;;;;;;;;;
1/1/2016;2016;Total general;Total de hechos de hurtos;52909;;;;;;;;;
1/1/2016;2016;Total general;Total de hechos de robos;81286;;;;;;;;;
1/1/2017;2017;Total general;Total de hechos de hurtos;51661;;;;;;;;;
1/1/2017;2017;Total general;Total de hechos de robos;81056;;;;;;;;;
1/1/2018;2018;Total general;Total de hechos de hurtos;63147;;;;;;;;;
1/1/2018;2018;Total general;Total de hechos de robos;94844;;;;;;;;;
1/1/2019;2019;Total general;Total de hechos de hurtos;98045;;;;;;;;;
1/1/2019;2019;Total general;Total de hechos de robos;144888;;;;;;;;;
1/1/2020;2020;Total general;Total de hechos de hurtos;66921;;;;;;;;;
1/1/2020;2020;Total general;Total de hechos de robos;106588;;;;;;;;;
1/1/2021;2021;Total general;Total de hechos de hurtos;72201;;;;;;;;;
1/1/2021;2021;Total general;Total de hechos de robos;106505;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de hechos de hurtos;31;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de hechos de robos;3;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de hechos de hurtos;19;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de hechos de robos;8;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de hechos de hurtos;13;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de hechos de robos;8;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de hechos de hurtos;11;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de hechos de robos;2;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de hechos de hurtos;26;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de hechos de robos;5;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de hechos de hurtos;51;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de hechos de robos;13;;;;;;;;;
1/1/2020;2020;Adolfo Alsina;Total de hechos de hurtos;37;;;;;;;;;
1/1/2020;2020;Adolfo Alsina;Total de hechos de robos;10;;;;;;;;;
1/1/2021;2021;Adolfo Alsina;Total de hechos de hurtos;40;;;;;;;;;
1/1/2021;2021;Adolfo Alsina;Total de hechos de robos;10;;;;;;;;;
1/1/2014;2014;Adolfo Gonzáles Chaves;Total de hechos de hurtos;90;;;;;;;;;
1/1/2014;2014;Adolfo Gonzáles Chaves;Total de hechos de robos;41;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de hechos de hurtos;64;;;;;;;;;
1/1/2015;2015;Adolfo Gonzáles Chaves;Total de hechos de robos;30;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de hechos de hurtos;34;;;;;;;;;
1/1/2016;2016;Adolfo Gonzáles Chaves;Total de hechos de robos;24;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de hechos de hurtos;26;;;;;;;;;
1/1/2017;2017;Adolfo Gonzáles Chaves;Total de hechos de robos;28;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de hechos de hurtos;70;;;;;;;;;
1/1/2018;2018;Adolfo Gonzáles Chaves;Total de hechos de robos;27;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de hechos de hurtos;71;;;;;;;;;
1/1/2019;2019;Adolfo Gonzáles Chaves;Total de hechos de robos;27;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de hechos de hurtos;69;;;;;;;;;
1/1/2020;2020;Adolfo Gonzáles Chaves;Total de hechos de robos;24;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de hechos de hurtos;62;;;;;;;;;
1/1/2021;2021;Adolfo Gonzáles Chaves;Total de hechos de robos;24;;;;;;;;;
1/1/2014;2014;Alberti;Total de hechos de hurtos;14;;;;;;;;;
1/1/2014;2014;Alberti;Total de hechos de robos;12;;;;;;;;;
1/1/2015;2015;Alberti;Total de hechos de hurtos;14;;;;;;;;;
1/1/2015;2015;Alberti;Total de hechos de robos;8;;;;;;;;;
1/1/2016;2016;Alberti;Total de hechos de hurtos;15;;;;;;;;;
1/1/2016;2016;Alberti;Total de hechos de robos;2;;;;;;;;;
1/1/2017;2017;Alberti;Total de hechos de hurtos;12;;;;;;;;;
